Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"uid":{"stringValue":"NoRRxxlwlE7vP2d","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_NoRRxxlwlE7vP2d","createTime":{"seconds":"1593342794","nanos":350484000},"updateTime":{"seconds":"1593342794","nanos":350484000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"uid":{"stringValue":"PX9k8QpyieCM6QB","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_PX9k8QpyieCM6QB","createTime":{"seconds":"1593342434","nanos":783583000},"updateTime":{"seconds":"1593342434","nanos":783583000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.453Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"PpFlQsIWTZ5pg9v","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_PpFlQsIWTZ5pg9v","createTime":{"seconds":"1593342456","nanos":178681000},"updateTime":{"seconds":"1593342456","nanos":178681000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"QfIfxyZimpwrfe4","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_QfIfxyZimpwrfe4","createTime":{"seconds":"1593342458","nanos":162160000},"updateTime":{"seconds":"1593342458","nanos":162160000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.454Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.455Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"R5twNHVDYDznWyr","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_R5twNHVDYDznWyr","createTime":{"seconds":"1593342438","nanos":887733000},"updateTime":{"seconds":"1593342438","nanos":887733000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.455Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.455Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.462Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"uid":{"stringValue":"RGM8pPPx2yU6EJ8","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_RGM8pPPx2yU6EJ8","createTime":{"seconds":"1593342454","nanos":140191000},"updateTime":{"seconds":"1593342454","nanos":140191000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.463Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.463Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.463Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":false,"valueType":"booleanValue"},"uid":{"stringValue":"RqyiB6vL1f8rvAi","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_RqyiB6vL1f8rvAi","createTime":{"seconds":"1593342428","nanos":650591000},"updateTime":{"seconds":"1593342428","nanos":650591000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.463Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.463Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.464Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"SLk8MbnlQxkHayg","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_SLk8MbnlQxkHayg","createTime":{"seconds":"1593342774","nanos":317261000},"updateTime":{"seconds":"1593342774","nanos":317261000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.464Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.464Z Wh2wq [Watch.onData]: Received document change
